system:index,count,theft_risk,.geo
+421772+149623,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77684680273177,26.881815382691446]}"
+421772+149745,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77693663426018,26.90373427562396]}"
+421773+149655,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77693663426018,26.88756460050981]}"
+421773+149679,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.777116297317,26.891876513873584]}"
+421774+149652,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77726002776245,26.886917813505242]}"
+421774+149661,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.777116297317,26.88855274732234]}"
+421774+149668,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.777116297317,26.88990022024852]}"
+421774+149766,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7772061288454,26.907507199817264]}"
+421774+149770,5,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77722409515108,26.9080821215991]}"
+421775+149659,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77747562343065,26.888193421208694]}"
+421775+149703,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77747562343065,26.896188427237355]}"
+421777+149658,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7778349495443,26.88810358968028]}"
+421777+149663,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7778349495443,26.889001904964402]}"
+421777+149668,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7778349495443,26.88990022024852]}"
+421777+149829,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7778349495443,26.918736140868756]}"
+421777+149832,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7778349495443,26.91936496156764]}"
+421779+149688,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77819427565794,26.893493481384997]}"
+421779+149874,17,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7781414335824,26.926636031161458]}"
+421780+149643,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77837393871476,26.885408643827923]}"
+421781+149640,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77855360177159,26.88486965465745]}"
+421781+149691,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77846377024318,26.89403247055547]}"
+421782+149854,27,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7784205180258,26.92289833501851]}"
+421782+149891,34,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77816785462016,26.9295951873915]}"
+421784+149721,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77900275941364,26.899332530731776]}"
+421785+149642,6,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77906264709925,26.88516909308549]}"
+421785+149673,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77927225399888,26.89079853553264]}"
+421785+149723,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77927225399888,26.899781688373835]}"
+421785+149738,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77918242247047,26.902476634226193]}"
+421785+149852,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77927225399888,26.922958222704118]}"
+421785+149879,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77927225399888,26.927674377945745]}"
+421786+149652,8,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.779294711881,26.886711200989897]}"
+421786+149703,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77949683281992,26.896008764180532]}"
+421786+149705,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77945191705571,26.896547753351005]}"
+421786+149886,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7793620855273,26.929066766636133]}"
+421787+149654,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77963158011254,26.887295105924572]}"
+421788+149639,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77972141164095,26.884689991600627]}"
+421788+149647,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77981124316936,26.886127296055218]}"
+421788+149662,24,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77969146779814,26.888208393130096]}"
+421788+149675,3,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77969146779814,26.89109797396068]}"
+421788+149720,2,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77972141164095,26.899242699203363]}"
+421789+149677,4,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.7801256535188,26.891382440467318]}"
+421789+149745,1,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.77999090622617,26.90373427562396]}"
